pfa             pmd             Nfa             Nmd             score           
0.00001450      0.00000000      89              0               3579            
0.00000840      0.00000000      61              0               3586            
0.00000600      0.00000000      24              0               3592            
0.00000400      0.00000000      20              0               3598            
0.00000240      0.00000010      16              1               3605            
0.00000150      0.00000010      9               0               3611            
0.00000100      0.00000020      5               1               3617            
0.00000040      0.00000020      6               0               3624            
0.00000030      0.00000020      1               0               3630            
0.00000010      0.00000040      2               2               3636            
0.00000010      0.00000050      0               1               3643            
0.00000010      0.00000060      0               1               3649            
0.00000010      0.00000090      0               3               3656            
0.00000000      0.00000130      1               4               3662            
0.00000000      0.00000230      0               10              3668            
0.00000000      0.00000260      0               3               3675            
0.00000000      0.00000340      0               8               3681            
0.00000000      0.00000470      0               13              3687            
0.00000000      0.00000650      0               18              3694            
0.00000000      0.00000840      0               19              3700            
0.00000000      0.00001140      0               30              3706            
0.00000000      0.00001680      0               54              3713            
0.00000000      0.00002360      0               68              3719            
0.00000000      0.00002950      0               59              3726            
0.00000000      0.00003990      0               104             3732            
0.00000000      0.00005150      0               116             3738            
0.00000000      0.00006590      0               144             3745            
0.00000000      0.00008370      0               178             3751            
0.00000000      0.00010870      0               250             3757            
0.00000000      0.00013990      0               312             3764            
0.00000000      0.00017680      0               369             3770            
0.00000000      0.00022370      0               469             3776            
0.00000000      0.00028410      0               604             3783            
0.00000000      0.00035100      0               669             3789            
0.00000000      0.00043790      0               869             3795            
0.00000000      0.00054520      0               1073            3802            
0.00000000      0.00067500      0               1298            3808            
0.00000000      0.00083140      0               1564            3815            
0.00000000      0.00102140      0               1900            3821            
0.00000000      0.00124240      0               2210            3827            
0.00000000      0.00151030      0               2679            3834            
0.00000000      0.00183780      0               3275            3840            
0.00000000      0.00221880      0               3810            3846            
0.00000000      0.00267060      0               4518            3853            
0.00000000      0.00320650      0               5359            3859            
0.00000000      0.00383640      0               6299            3865            
0.00000000      0.00455420      0               7178            3872            
0.00000000      0.00541440      0               8602            3878            
0.00000000      0.00640000      0               9856            3885            
0.00000000      0.00756500      0               11650           3891            
0.00000000      0.00887770      0               13127           3897            
0.00000000      0.01039080      0               15131           3904            
0.00000000      0.01209300      0               17022           3910            
0.00000000      0.01404630      0               19533           3916            
0.00000000      0.01627690      0               22306           3923            
0.00000000      0.01879100      0               25141           3929            
0.00000000      0.02160870      0               28177           3935            
0.00000000      0.02473020      0               31215           3942            
0.00000000      0.02822730      0               34971           3948            
0.00000000      0.03218040      0               39531           3955            
0.00000000      0.03657100      0               43906           3961            
0.00000000      0.04140090      0               48299           3967            
0.00000000      0.04667110      0               52702           3974            
0.00000000      0.05248950      0               58184           3980            
0.00000000      0.05886650      0               63770           3986            
0.00000000      0.06583350      0               69670           3993            
0.00000000      0.07339570      0               75622           3999            
0.00000000      0.08155240      0               81567           4005            
0.00000000      0.09041760      0               88652           4012            
0.00000000      0.09994700      0               95294           4018            
0.00000000      0.11011180      0               101648          4025            
0.00000000      0.12101130      0               108995          4031            
0.00000000      0.13259760      0               115863          4037            
0.00000000      0.14487590      0               122783          4044            
0.00000000      0.15789640      0               130205          4050            
0.00000000      0.17162540      0               137290          4056            
0.00000000      0.18602750      0               144021          4063            
0.00000000      0.20111780      0               150903          4069            
0.00000000      0.21690140      0               157836          4075            
0.00000000      0.23339610      0               164947          4082            
0.00000000      0.25050190      0               171058          4088            
0.00000000      0.26826410      0               177622          4094            
0.00000000      0.28655100      0               182869          4101            
0.00000000      0.30532480      0               187738          4107            
0.00000000      0.32463670      0               193119          4114            
0.00000000      0.34439390      0               197572          4120            
0.00000000      0.36451260      0               201187          4126            
0.00000000      0.38500080      0               204882          4133            
0.00000000      0.40578760      0               207868          4139            
0.00000000      0.42679570      0               210081          4145            
0.00000000      0.44801290      0               212172          4152            
0.00000000      0.46929690      0               212840          4158            
0.00000000      0.49057780      0               212809          4164            
0.00000000      0.51188150      0               213037          4171            
0.00000000      0.53308800      0               212065          4177            
0.00000000      0.55417830      0               210903          4184            
0.00000000      0.57505330      0               208750          4190            
0.00000000      0.59574520      0               206919          4196            
0.00000000      0.61614940      0               204042          4203            
0.00000000      0.63617540      0               200260          4209            
0.00000000      0.65573700      0               195616          4215            
0.00000000      0.67494420      0               192072          4222            
0.00000000      0.69363480      0               186906          4228            
0.00000000      0.71177790      0               181431          4234            
0.00000000      0.72937330      0               175954          4241            
0.00000000      0.74639880      0               170255          4247            
0.00000000      0.76280100      0               164022          4254            
0.00000000      0.77859470      0               157937          4260            
0.00000000      0.79368030      0               150856          4266            
0.00000000      0.80822860      0               145483          4273            
0.00000000      0.82203050      0               138019          4279            
0.00000000      0.83520870      0               131782          4285            
0.00000000      0.84769220      0               124835          4292            
0.00000000      0.85948630      0               117941          4298            
0.00000000      0.87068550      0               111992          4304            
0.00000000      0.88121600      0               105305          4311            
0.00000000      0.89113980      0               99238           4317            
0.00000000      0.90043580      0               92960           4324            
0.00000000      0.90909160      0               86558           4330            
0.00000000      0.91724230      0               81507           4336            
0.00000000      0.92474130      0               74990           4343            
0.00000000      0.93169050      0               69492           4349            
0.00000000      0.93812300      0               64325           4355            
0.00000000      0.94409920      0               59762           4362            
0.00000000      0.94957510      0               54759           4368            
0.00000000      0.95461400      0               50389           4374            
0.00000000      0.95925540      0               46414           4381            
0.00000000      0.96348690      0               42315           4387            
0.00000000      0.96733730      0               38504           4393            
0.00000000      0.97083880      0               35015           4400            
0.00000000      0.97401520      0               31764           4406            
0.00000000      0.97691840      0               29032           4413            
0.00000000      0.97954580      0               26274           4419            
0.00000000      0.98190080      0               23550           4425            
0.00000000      0.98400760      0               21068           4432            
0.00000000      0.98589510      0               18875           4438            
0.00000000      0.98759600      0               17009           4444            
0.00000000      0.98913480      0               15388           4451            
0.00000000      0.99048330      0               13485           4457            
0.00000000      0.99167130      0               11880           4463            
0.00000000      0.99274870      0               10774           4470            
0.00000000      0.99368700      0               9383            4476            
0.00000000      0.99451530      0               8283            4483            
0.00000000      0.99524040      0               7251            4489            
0.00000000      0.99588100      0               6406            4495            
0.00000000      0.99644120      0               5602            4502            
0.00000000      0.99694090      0               4997            4508            
0.00000000      0.99736810      0               4272            4514            
0.00000000      0.99774420      0               3761            4521            
0.00000000      0.99807030      0               3261            4527            
0.00000000      0.99834600      0               2757            4533            
0.00000000      0.99858240      0               2364            4540            
0.00000000      0.99879250      0               2101            4546            
0.00000000      0.99897230      0               1798            4553            
0.00000000      0.99912950      0               1572            4559            
0.00000000      0.99926180      0               1323            4565            
0.00000000      0.99937760      0               1158            4572            
0.00000000      0.99947450      0               969             4578            
0.00000000      0.99955920      0               847             4584            
0.00000000      0.99963130      0               721             4591            
0.00000000      0.99969030      0               590             4597            
0.00000000      0.99974020      0               499             4603            
0.00000000      0.99978740      0               472             4610            
0.00000000      0.99982180      0               344             4616            
0.00000000      0.99985260      0               308             4623            
0.00000000      0.99987790      0               253             4629            
0.00000000      0.99990060      0               227             4635            
0.00000000      0.99991920      0               186             4642            
0.00000000      0.99993140      0               122             4648            
0.00000000      0.99994300      0               116             4654            
0.00000000      0.99995280      0               98              4661            
0.00000000      0.99996140      0               86              4667            
0.00000000      0.99996790      0               65              4673            
0.00000000      0.99997310      0               52              4680            
0.00000000      0.99997800      0               49              4686            
0.00000000      0.99998210      0               41              4692            
0.00000000      0.99998620      0               41              4699            
0.00000000      0.99998820      0               20              4705            
0.00000000      0.99999030      0               21              4712            
0.00000000      0.99999290      0               26              4718            
0.00000000      0.99999440      0               15              4724            
0.00000000      0.99999530      0               9               4731            
0.00000000      0.99999590      0               6               4737            
0.00000000      0.99999660      0               7               4743            
0.00000000      0.99999700      0               4               4750            
0.00000000      0.99999780      0               8               4756            
0.00000000      0.99999850      0               7               4762            
0.00000000      0.99999890      0               4               4769            
0.00000000      0.99999930      0               4               4775            
0.00000000      0.99999930      0               0               4782            
0.00000000      0.99999930      0               0               4788            
0.00000000      0.99999940      0               1               4794            
0.00000000      0.99999950      0               1               4801            
0.00000000      0.99999960      0               1               4807            
0.00000000      0.99999960      0               0               4813            
0.00000000      0.99999960      0               0               4820            
0.00000000      0.99999960      0               0               4826            
0.00000000      0.99999990      0               3               4832            
0.00000000      0.99999990      0               0               4839            
0.00000000      0.99999990      0               0               4845            
0.00000000      0.99999990      0               0               4852            
0.00000000      1.00000000      0               1               4858            
